Sleep,0.0165,mW,0.0165,0.0165,0.01485,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,,,,,100%,80%,65%,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Load Cell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Active,25,mW,25,25,25,22.5,25,25,25,25,25,25,25,25,,,,,0%,2%,3%,0
Idle,2.5,mW,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,0%,95%,20%,0
Off,0,mW,0,0,0,0,0,0,0,0,0,0,0,0,,,,,100%,3%,77%,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0%,0%,0%,0
HX711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0%,0%,0%,0
Active,5,mW,5,5,5,5,5,5,4.5,5,5,5,5,5,,,,,0%,2%,3%,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://cdn.sparkfun.com/datasheets/Sensors/ForceFlex/hx711_english.pdf
Idle,0.3,mW,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,0%,95%,20%,0
Off,0.001,mW,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,100%,3%,77%,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0%,0%,0%,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0%,0%,0%,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0
0,0,0,0,,,,,,,,,,,,,,,,0,22,3,hours/day typical usage
Battery,0,0,0,,,,,,,,,,,,,,,,0,0,0,0
Capacity,500,mAh,0,,,,,,,,,,,,,,,,0,0,0,0
Nominal Voltage,3.7,V,0,,,,,,,,,,,,,,,,0,0,0,0
Regulator Efficiency,90%,0,0,,,,,,,,,,,,,,,,0,0,0,0
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,#REF!,#REF!,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,#REF!,#REF!,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,#REF!,#REF!,
REFLECTIONS : WHAT DID YOU LEARN FROM ANALYZING YOUR POWER.  TALK ABOUT SOME POTENTIAL TRADEOFFS. ,0,#REF!,#REF!,,,,,,,,,,,#REF!,#REF!,#REF!,0,0,0,#REF!,#REF!,
Total power in profile (mw),0,0,,,,,,,,,,,,,,,0,0,0,0,0,
"""off""",2%,mW,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,,,0,0,0,0,0,
"""sensing""",639%,mW,626%,621%,639%,634%,639%,639%,638%,639%,639%,639%,639%,639%,,,0,0,0,0,0,
"""interactive""",777%,mW,744%,747%,777%,770%,777%,777%,776%,777%,777%,777%,777%,777%,,,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,
Effective Battery Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,166500%,mW*h,166500%,166500%,166500%,166500%,166500%,166500%,166500%,166500%,166500%,166500%,166500%,166500%,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Days of Use,1015%,days,1040%,1046%,1016%,1024%,1015%,1015%,1017%,1015%,1015%,1015%,1015%,1015%,0,0,0,0,0,0,0,
Hours of Use,24371%,hours,24964%,25115%,24376%,24570%,24371%,24371%,24410%,24371%,24371%,24371%,24371%,24371%,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
% change,0,0,2.43%,3.05%,0.02%,0.81%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,
Parameter Name,0,0,ProcessorActive,ProcessorIdle,ProcessorOff,LEDOn,SensorOn,SensorIdle,SensorOff,DisplayOn,DisplayOff,RadioStandby,RadioTX,RadioRX,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
0,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,
